2020-06-14 16:16:23 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:16:37 INFO  BunchAppTests:22 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:19:16 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:19:29 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:21:32 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:21:46 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:23:35 INFO  BunchAppTests:15 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:23:50 INFO  BunchAppTests:22 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:27:35 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:27:41 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:27:54 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:27:54 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:28:07 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:28:40 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:28:53 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:32:38 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:32:51 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:34:24 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:34:38 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:36:28 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:36:42 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 16:52:55 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 16:53:09 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:02:02 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:02:15 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:10:11 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:10:25 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:13:35 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:16:15 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:16:28 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:18:16 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:18:30 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:19:16 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:19:29 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:20:05 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:20:55 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:21:08 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:24:00 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:24:13 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:29:48 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:30:01 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:32:00 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:32:13 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:41:33 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:41:47 INFO  BunchAppTests:23 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:44:26 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:44:31 INFO  BunchAppTests:21 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:46:13 INFO  BunchAppTests:16 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:46:18 INFO  BunchAppTests:21 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:49:13 INFO  BunchAppTests:17 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:49:19 INFO  BunchAppTests:22 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 17:50:16 INFO  BunchAppTests:17 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:50:54 INFO  BunchAppTests:17 - ********* The user clicks on Continue with SMS button *********
2020-06-14 17:50:59 INFO  BunchAppTests:22 - ********* The user is trying to read the heading on the Registration page *********
2020-06-14 18:16:01 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:16:12 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:17:11 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:17:18 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:18:37 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:18:44 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:26:05 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:26:13 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:29:10 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:29:17 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:30:54 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:31:01 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:31:49 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:31:56 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:35:35 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:35:43 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:36:39 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:36:44 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:37:52 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:38:12 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:39:30 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:39:36 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:42:10 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:42:18 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:44:47 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:44:54 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:46:40 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:46:48 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:49:01 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:49:08 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:49:56 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:50:04 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:50:45 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:50:53 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-14 18:52:41 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-14 18:52:48 INFO  BunchAppTests:33 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:10:13 INFO  BunchAppTests:17 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:10:34 INFO  BunchAppTests:28 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:13:32 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-15 11:13:52 INFO  BunchAppTests:17 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:14:12 INFO  BunchAppTests:28 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:16:03 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-15 11:16:25 INFO  BunchAppTests:17 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:16:45 INFO  BunchAppTests:28 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:29:40 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-15 11:30:01 INFO  BunchAppTests:17 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:30:21 INFO  BunchAppTests:28 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:35:59 INFO  BunchAppTests:17 - ********* Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-15 11:36:20 INFO  BunchAppTests:17 - ***** Pre-requisite: The user clicks on Continue with SMS button to be on the Registration Page *****
2020-06-15 11:36:26 INFO  BunchAppTests:21 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:36:28 INFO  BunchAppTests:31 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:47:48 INFO  BunchAppTests:17 - ********* Test Case- Validate the user clicks on Continue with SMS button and lands on Registration Page *********
2020-06-15 11:47:55 INFO  BunchAppTests:26 - ****** Test Case - Validate the User is on Registration Page by reading the heading of the page*******
2020-06-15 11:47:57 INFO  BunchAppTests:32 - ****** The heading on registration page is ====>Enter your phone number
2020-06-15 11:48:15 INFO  BunchAppTests:17 - ***** Pre-requisite: The user clicks on Continue with SMS button to be on the Registration Page *****
2020-06-15 11:48:20 INFO  BunchAppTests:21 - ******** Validate the default timezone is set to US on Registration page ********
2020-06-15 11:48:22 INFO  BunchAppTests:31 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
2020-06-15 11:52:01 INFO  BunchAppTests:17 - ***** Pre-requisite: The user clicks on Continue with SMS button to be on the Registration Page *****
2020-06-15 11:52:18 INFO  BunchAppTests:32 - ********* Validate the user is able to click on time zone button an lands on timezone selection page *********
